Temperature,Humidity,WindSpeed,Pressure,Visibility,Precipitation,CloudCover,DewPoint
19.7,77.91,16.01,1002.32,7.09,12.63,72,12.73
24.69,74.8,4.67,1022.5,5.11,10.65,62,19.13
29.78,47.69,10.8,1030.11,7.39,2.31,75,20.93
20.07,80.79,17.6,1011.96,4.08,12.11,43,21.08
27.52,51.22,13.02,1011.31,4.76,2.34,37,18.43
22.35,51.19,10.66,1013.7,9.34,6.74,82,17.16
21.04,66.85,6.49,1024.62,4.32,2.86,59,10.85
24.46,69.65,6.66,1003.73,5.76,13.84,70,14.03
19.82,69.0,13.39,1015.38,9.12,4.13,98,11.31
22.23,44.57,19.88,1022.75,7.66,7.84,47,23.49
19.01,83.87,13.24,1018.01,2.5,17.91,17,11.89
34.82,53.28,11.16,1014.9,3.18,4.09,15,12.12
25.18,46.48,14.61,1023.01,2.06,10.16,54,22.45
21.5,84.44,9.3,985.97,7.05,8.39,38,23.21
26.07,87.78,1.2,1019.78,5.58,0.36,67,20.72
24.44,83.11,11.25,1006.46,3.07,15.86,58,10.08
23.9,80.48,19.15,994.69,9.66,1.38,88,10.02
28.07,72.76,3.51,1018.11,6.24,9.49,95,15.29
28.79,67.54,13.8,1026.74,3.94,11.21,61,12.01
22.35,44.35,4.02,1011.63,6.0,12.57,12,10.26
22.12,60.42,10.72,1022.53,7.44,13.77,80,16.5
23.62,58.63,1.93,1029.12,2.61,5.07,5,23.2
13.49,52.99,9.01,1026.15,4.2,0.2,82,14.53
17.42,76.17,15.12,1029.4,8.46,14.47,76,19.26
31.83,64.79,6.95,1020.42,5.68,10.71,59,19.13
33.22,44.05,13.3,1013.75,6.37,16.72,89,13.52
23.75,51.01,15.91,996.98,5.46,16.43,13,19.11
27.88,74.16,18.54,1010.54,2.35,16.87,94,12.97
26.56,43.81,4.69,1004.57,3.33,9.7,53,11.71
40.39,82.56,7.99,1034.71,5.56,6.67,3,19.82
30.6,64.76,3.05,1011.24,3.67,15.83,38,11.59
24.36,64.03,19.85,1014.23,2.4,9.03,71,23.96
20.22,69.62,18.54,1018.51,8.75,3.67,24,12.57
16.97,81.23,10.8,1013.44,9.85,17.1,76,18.32
26.02,57.39,16.84,1029.95,8.35,17.65,31,15.76
21.22,73.9,10.42,1006.77,8.83,9.33,58,11.77
17.89,68.29,12.47,1014.95,3.94,1.51,62,10.39
21.77,53.35,1.78,1005.58,9.69,7.76,37,18.72
19.59,83.93,15.11,999.8,3.58,16.07,91,21.29
33.44,79.87,2.55,1006.88,9.61,18.04,52,21.79
29.41,72.92,16.52,1012.63,9.96,4.07,93,16.76
24.96,82.53,15.64,1008.71,7.69,1.34,66,20.88
32.4,83.36,14.17,1006.08,9.85,17.55,27,19.42
25.39,75.42,0.72,998.94,6.56,7.79,2,20.14
20.69,81.85,6.06,1012.17,4.08,10.84,97,16.9
32.62,74.87,5.26,997.95,5.5,19.36,79,18.87
27.69,74.01,7.2,1020.6,6.75,1.33,21,21.28
19.81,70.93,1.75,1013.82,2.58,12.97,95,15.57
24.05,77.64,18.74,998.42,6.98,1.48,37,21.28
20.62,47.93,11.08,1009.91,9.85,7.51,71,18.29
18.09,84.04,6.11,1005.48,3.52,16.08,71,12.32
